id_medico,id_clinica,id_consultorio,nombre,apellido,especialidad,telefono,correo
41,1,1,Pablo,González,Dermatología general,3401234567,pablo.gonzalez@dermasalud.com
42,1,2,Daniela,Bedoya,Dermatología estética,3411234567,daniela.bedoya@dermasalud.com
43,1,3,Juan,Ortiz,Procedimientos menores,3421234567,juan.ortiz@dermasalud.com
44,1,4,Lina,Muñoz,Consulta externa,3431234567,lina.munoz@dermasalud.com
45,1,5,Santiago,Alvarez,Dermatología pediátrica,3441234567,santiago.alvarez@dermasalud.com
46,2,6,Camila,Córdoba,Dermatología estética,3451234567,camila.cordoba@pielsana.com
47,2,7,David,Ospina,Estética avanzada,3461234567,david.ospina@pielsana.com
48,2,8,Laura,Ramírez,Láser dermatológico,3471234567,laura.ramirez@pielsana.com
49,2,9,Andrés,Bustos,Consulta externa,3481234567,andres.bustos@pielsana.com
50,2,10,Mariana,Lozano,Peeling y rejuvenecimiento,3491234567,mariana.lozano@pielsana.com
51,2,11,Natalia,Ardila,Tratamientos capilares,3501234567,natalia.ardila@pielsana.com
52,3,12,Andrés,Valencia,Dermatología oncológica,3511234567,andres.valencia@dermavida.com
53,3,13,Manuela,Botero,Procedimientos quirúrgicos,3521234567,manuela.botero@dermavida.com
54,3,14,Luis,Arboleda,Consulta especializada,3531234567,luis.arboleda@dermavida.com
55,3,15,Camila,Mejía,Terapias complementarias,3541234567,camila.mejia@dermavida.com
56,3,16,Andrés,Cardona,Control postoperatorio,3551234567,andres.cardona@dermavida.com
57,1,17,Daniel,Calle,Cirugía dermatológica,3561234567,daniel.calle@dermasalud.com
58,2,18,Carolina,Tamayo,Dermatología estética,3571234567,carolina.tamayo@pielsana.com
59,3,19,Sofía,Marín,Oncología avanzada,3581234567,sofia.marin@dermavida.com
60,1,20,Tomás,Aristizábal,Investigación dermatológica,3591234567,tomas.aristizabal@dermasalud.com
61,1,1,Esteban,Herrera,Dermatología general,3601234567,esteban.herrera@dermasalud.com
62,1,2,Mariana,Giraldo,Dermatología estética,3611234567,mariana.giraldo@dermasalud.com
63,1,3,Lucas,Morales,Procedimientos menores,3621234567,lucas.morales@dermasalud.com
64,1,4,Alejandra,Cano,Consulta externa,3631234567,alejandra.cano@dermasalud.com
65,1,5,Daniel,Ortiz,Dermatología pediátrica,3641234567,daniel.ortiz@dermasalud.com
66,2,6,Isabel,Ramírez,Dermatología estética,3651234567,isabel.ramirez@pielsana.com
67,2,7,Miguel,Hernández,Estética avanzada,3661234567,miguel.hernandez@pielsana.com
68,2,8,Juliana,Cárdenas,Láser dermatológico,3671234567,juliana.cardenas@pielsana.com
69,2,9,Daniel,Salazar,Consulta externa,3681234567,daniel.salazar@pielsana.com
70,2,10,Lucía,Villegas,Peeling y rejuvenecimiento,3691234567,lucia.villegas@pielsana.com
71,2,11,Tomás,López,Tratamientos capilares,3701234567,tomas.lopez@pielsana.com
72,3,12,Valentina,Mejía,Dermatología oncológica,3711234567,valentina.mejia@dermavida.com
73,3,13,Juanita,Suárez,Procedimientos quirúrgicos,3721234567,juanita.suarez@dermavida.com
74,3,14,Andrés,Bernal,Consulta especializada,3731234567,andres.bernal@dermavida.com
75,3,15,Sara,Montoya,Terapias complementarias,3741234567,sara.montoya@dermavida.com
76,3,16,Felipe,Muñoz,Control postoperatorio,3751234567,felipe.munoz@dermavida.com
77,1,17,Laura,Gómez,Cirugía dermatológica,3761234567,laura.gomez@dermasalud.com
78,2,18,Andrés,Vásquez,Dermatología estética,3771234567,andres.vasquez@pielsana.com
79,3,19,Valeria,Castro,Oncología avanzada,3781234567,valeria.castro@dermavida.com
80,1,20,Sebastián,Jaramillo,Investigación dermatológica,3791234567,sebastian.jaramillo@dermasalud.com
81,1,1,Mateo,Patiño,Dermatología general,3801234567,mateo.patino@dermasalud.com
82,1,2,Carolina,Benavides,Dermatología estética,3811234567,carolina.benavides@dermasalud.com
83,1,3,Manuel,Ruiz,Procedimientos menores,3821234567,manuel.ruiz@dermasalud.com
84,1,4,Sofía,Toro,Consulta externa,3831234567,sofia.toro@dermasalud.com
85,1,5,Juan,Valencia,Dermatología pediátrica,3841234567,juan.valencia@dermasalud.com
86,2,6,Miguel,Castañeda,Dermatología estética,3851234567,miguel.castaneda@pielsana.com
87,2,7,Paula,Barrera,Estética avanzada,3861234567,paula.barrera@pielsana.com
88,2,8,Andrés,Zuluaga,Láser dermatológico,3871234567,andres.zuluaga@pielsana.com
89,2,9,Camila,Toro,Consulta externa,3881234567,camila.toro@pielsana.com
90,2,10,Santiago,Molina,Peeling y rejuvenecimiento,3891234567,santiago.molina@pielsana.com
91,2,11,Alejandro,Moreno,Tratamientos capilares,3901234567,alejandro.moreno@pielsana.com
92,3,12,Mónica,López,Dermatología oncológica,3911234567,monica.lopez@dermavida.com
93,3,13,Fernando,Pérez,Procedimientos quirúrgicos,3921234567,fernando.perez@dermavida.com
94,3,14,Adriana,González,Consulta especializada,3931234567,adriana.gonzalez@dermavida.com
95,3,15,Juan,Prieto,Terapias complementarias,3941234567,juan.prieto@dermavida.com
96,3,16,Catalina,Jiménez,Control postoperatorio,3951234567,catalina.jimenez@dermavida.com
97,1,17,Luis,Marín,Cirugía dermatológica,3961234567,luis.marin@dermasalud.com
98,2,18,Isabella,Suárez,Dermatología estética,3971234567,isabella.suarez@pielsana.com
99,3,19,Nicolás,Herrera,Oncología avanzada,3981234567,nicolas.herrera@dermavida.com
100,1,20,Juliana,Rivera,Investigación dermatológica,3991234567,juliana.rivera@dermasalud.com
